,i,algorithm,execution Time
1752,7,modearm,0.04989433288574219
1753,7,nshsdearm,0.41242432594299316
1754,7,mogeaarm,0.056014299392700195
1755,7,mogsaarm,0.5591943264007568
1756,7,mossoarm,0.4268674850463867
1757,7,mowoaarm,0.0468745231628418
1758,7,mososarm,0.11078262329101562
1759,7,mocssarm,36.17422938346863
1760,8,mocsoarm,0.4826083183288574
1761,8,mopso,0.04598569869995117
1762,8,nsgaii,0.3819711208343506
1763,8,hmofaarm,0.5530991554260254
1764,8,mosaarm,1.1566176414489746
1765,8,mowsaarm,0.25385165214538574
1766,8,mocatsoarm,0.031914710998535156
1767,8,motlboarm,0.13215947151184082
1768,8,mofpaarm,0.04986882209777832
1769,8,moaloarm,3.4468870162963867
1770,8,modaarm,0.4019944667816162
1771,8,mohsbotsarm,0.4113428592681885
1772,8,modearm,0.048784494400024414
1773,8,nshsdearm,0.41476011276245117
1774,8,mogeaarm,0.06781911849975586
1775,8,mogsaarm,0.6829614639282227
1776,8,mossoarm,0.5126669406890869
1777,8,mowoaarm,0.0430755615234375
1778,8,mososarm,0.10896110534667969
1779,8,mocssarm,22.82739543914795
1780,9,mocsoarm,0.4839773178100586
1781,9,mopso,0.03997945785522461
1782,9,nsgaii,0.3899679183959961
1783,9,hmofaarm,0.5532963275909424
1784,9,mosaarm,1.159231424331665
1785,9,mowsaarm,0.25489282608032227
1786,9,mocatsoarm,0.03553295135498047
1787,9,motlboarm,0.08982706069946289
1788,9,mofpaarm,0.04893898963928223
1789,9,moaloarm,3.4874095916748047
1790,9,modaarm,0.4039497375488281
1791,9,mohsbotsarm,0.41987037658691406
1792,9,modearm,0.049866437911987305
1793,9,nshsdearm,0.4144737720489502
1794,9,mogeaarm,0.06934976577758789
1795,9,mogsaarm,0.6914448738098145
1796,9,mossoarm,0.4922342300415039
1797,9,mowoaarm,0.05104780197143555
1798,9,mososarm,0.1084902286529541
1799,9,mocssarm,36.09974431991577
1800,10,mocsoarm,0.4633035659790039
1801,10,mopso,0.14449334144592285
1802,10,nsgaii,0.3808412551879883
1803,10,hmofaarm,0.554603099822998
1804,10,mosaarm,1.1553802490234375
1805,10,mowsaarm,0.25406670570373535
1806,10,mocatsoarm,0.031914710998535156
1807,10,motlboarm,0.12944412231445312
1808,10,mofpaarm,0.057821035385131836
1809,10,moaloarm,3.521047830581665
1810,10,modaarm,0.41727375984191895
1811,10,mohsbotsarm,0.412245512008667
1812,10,modearm,0.04989194869995117
1813,10,nshsdearm,0.4232215881347656
1814,10,mogeaarm,0.06682109832763672
1815,10,mogsaarm,0.6119551658630371
1816,10,mossoarm,0.48426246643066406
1817,10,mowoaarm,0.049783945083618164
